"filename", "language", "JavaScript", "PostCSS", "XML", "Markdown", "vue", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\atoms\PlayerInputs.vue", "vue", 0, 0, 0, 0, 161, 0, 0, 0, 105, 266
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\atoms\PlayersFooter.vue", "vue", 0, 0, 0, 0, 30, 0, 0, 0, 28, 58
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\molecules\PlayerInformation.vue", "vue", 0, 0, 0, 0, 180, 0, 0, 0, 99, 279
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\molecules\PlayersTable.vue", "vue", 0, 0, 0, 0, 96, 0, 0, 0, 90, 186
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\molecules\Tabs.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 0, 36, 73
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\organisms\Players.vue", "vue", 0, 0, 0, 0, 69, 0, 0, 0, 50, 119
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\templates\PlayersPage.vue", "vue", 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\profilepage\atoms\FormButtons.vue", "vue", 0, 0, 0, 0, 25, 0, 0, 0, 15, 40
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\profilepage\atoms\ImageSubmitButton.vue", "vue", 0, 0, 0, 0, 50, 0, 0, 0, 41, 91
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\profilepage\atoms\ProfileInputs.vue", "vue", 0, 0, 0, 0, 98, 0, 0, 0, 52, 150
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\profilepage\molecules\AccountInfo.vue", "vue", 0, 0, 0, 0, 99, 0, 0, 0, 71, 170
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\profilepage\organisms\Profile.vue", "vue", 0, 0, 0, 0, 8, 0, 0, 0, 7, 15
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\profilepage\templates\ProfilePage.vue", "vue", 0, 0, 0, 0, 12, 0, 0, 0, 8, 20
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\clubStore.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 29, 82
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\courtStore.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 4, 21, 57
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\hashtagStore.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 33, 76
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\languageStore.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 10, 22
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\playerStore.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 20, 58
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\profileStore.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 12, 36
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\trainerStore.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 16, 35
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\stores\trainingStore.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 16, 35
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\atoms\EmptyTab.vue", "vue", 0, 0, 0, 0, 17, 0, 0, 0, 16, 33
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\atoms\FormButtons.vue", "vue", 0, 0, 0, 0, 25, 0, 0, 0, 15, 40
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\atoms\ImageSubmitButton.vue", "vue", 0, 0, 0, 0, 61, 0, 0, 0, 52, 113
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\atoms\NoDataTab.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 10, 21
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\atoms\TrainerInputs.vue", "vue", 0, 0, 0, 0, 161, 0, 0, 0, 105, 266
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\atoms\TrainersFooter.vue", "vue", 0, 0, 0, 0, 30, 0, 0, 0, 28, 58
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\molecules\Tabs.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 0, 36, 73
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\trainerspage\molecules\TrainerInformation.vue", "vue", 0, 0, 0, 0, 164, 0, 0, 0, 95, 259
